AQS Code	CAMS	TCEQ Region	Reg#	EPA Reg	Site Name	Street Address	Urban Area	Latitude	Longitude	Elevation	Timezone	Params	Activation Date	Deactivation Date	Maintained By	Owned By
482010031		HOUSTON	12	Y	Cloverleaf	903 Hollywood 	NOT IN AN URBAN AREA	29.7786110	-95.1713890	0	CENTRAL		01-Jan-1983	27-Dec-1984	TCEQ	TCEQ
482010036	1036	HOUSTON	12	N	Channelview Drive Water Tower	15913 Channelview Drive 	HOUSTON, TX	29.7717179	-95.1208000	7.9	CENTRAL	55	19-Jul-2006		TCEQ	TCEQ
482010038		HOUSTON	12	Y	Parkhurst	8314 Parkhurst 	NOT IN AN URBAN AREA	29.8377780	-95.2855560	16.0	CENTRAL		01-Jan-1975	31-Dec-1982	City of Houston Health Department	City of Houston Health Department
482010039		HOUSTON	12	Y	Fuqua	7834 Fuqua 	NOT IN AN URBAN AREA	29.6125000	-95.2791670	16.0	CENTRAL		01-Jan-1975	31-Dec-1984	City of Houston Health Department	City of Houston Health Department
482010040		HOUSTON	12	Y	Jeannetta	2925 Jeannetta at Clarkcrest 	NOT IN AN URBAN AREA	29.7330560	-95.5238890	18.0	CENTRAL		01-Jan-1976	31-Dec-1988	City of Houston Health Department	City of Houston Health Department
482010041		HOUSTON	12	Y	Seamist	1602 Seamist 	NOT IN AN URBAN AREA	29.8013890	-95.4375000	18.0	CENTRAL		01-Jan-1976	27-Aug-1989	City of Houston Health Department	City of Houston Health Department
482010042		HOUSTON	12	Y	Hartsook	10343 Hartsook 	HOUSTON, TX	29.6341670	-95.2288890	16.0	CENTRAL		01-Jan-1976	31-Dec-1988	City of Houston Health Department	City of Houston Health Department
482010043		HOUSTON	12	Y	Cullen	11212 Cullen 	NOT IN AN URBAN AREA	29.6377780	-95.3552780	16.0	CENTRAL		01-Jan-1976	22-Apr-1988	City of Houston Health Department	City of Houston Health Department
482010044		HOUSTON	12	Y	Aberdeen 2	3828 Aberdeen 	HOUSTON, TX	29.6972220	-95.4386110	16.0	CENTRAL		01-Jan-1968	31-Dec-1988	City of Houston Health Department	City of Houston Health Department
482010045		HOUSTON	12	Y	BINGLE	4420 Bingle 		29.8344440	-95.4938890	16.0	CENTRAL		01-Jan-1976	01-Jan-1999	City of Houston Health Department	City of Houston Health Department
482010046	0405, 1033	HOUSTON	12	Y	Houston North Wayside	7330 1&#x2f;2 North Wayside 	HOUSTON, TX	29.8285159	-95.2839556	20.1	CENTRAL	10	01-Jan-1976		City of Houston Health Department	TCEQ
482010047	0408	HOUSTON	12	Y	Lang	4401 1&#x2f;2 Lang Rd 	HOUSTON, TX	29.8341672	-95.4891293	24.0	CENTRAL	5	01-Jan-1978		City of Houston Health Department	TCEQ
482010048		HOUSTON	12	Y	Fulton 2	10413 Fulton at Sunnyside 	NOT IN AN URBAN AREA	29.8566670	-95.3827780	21.0	CENTRAL		01-Jan-1977	29-Dec-1994	City of Houston Health Department	City of Houston Health Department
482010049		HOUSTON	12	Y	Kress	Kress &amp; Lyons 	NOT IN AN URBAN AREA	29.7758330	-95.3069440	18.0	CENTRAL		01-Jan-1978	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010050		HOUSTON	12	Y	Market 2	12759 Market St 	NOT IN AN URBAN AREA	29.7725000	-95.2052780	18.0	CENTRAL		01-Jan-1978	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010051	0409	HOUSTON	12	Y	Houston Croquet	13826 1&#x2f;2 Croquet 	HOUSTON, TX	29.6239612	-95.4743326	18.0	CENTRAL	9	01-Jan-1978		City of Houston Health Department	TCEQ
482010052		HOUSTON	12	Y	Clinton Drive	9640 Clinton Drive 	NOT IN AN URBAN AREA	29.7275000	-95.2763890	18.0	CENTRAL		01-Jan-1979	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010053		HOUSTON	12	Y	Granada	13300 Granada at Cimeron 	NOT IN AN URBAN AREA	29.7872220	-95.1916670	16.0	CENTRAL		01-Jan-1979	31-Dec-1981	City of Houston Health Department	City of Houston Health Department
482010054		HOUSTON	12	Y	Kress 2	702 Kress 	HOUSTON, TX	29.7758330	-95.3075000	18.0	CENTRAL		01-Jan-1980	25-Oct-1996	City of Houston Health Department	City of Houston Health Department
482010055	0053, 0146, 0181	HOUSTON	12	Y	Houston Bayland Park	6400 Bissonnet Street 	HOUSTON, TX	29.6957472	-95.4992444	19.1	CENTRAL	13	24-Mar-1998		TCEQ	TCEQ
482010056		HOUSTON	12	Y	Gregg	Gregg at New Orleans 	HOUSTON, TX	29.7769440	-95.3358330	29.0	CENTRAL		13-Dec-1980	31-Dec-1988	City of Houston Health Department	City of Houston Health Department
482010057	0167, 1667	HOUSTON	12	N	Galena Park	1713 2nd Street 	HOUSTON, TX	29.7342641	-95.2384748		CENTRAL	139	21-Oct-1997		TCEQ	TCEQ
482010058	0148	HOUSTON	12	Y	Baytown	7210 1&#x2f;2 Bayway Drive 	HOUSTON, TX	29.7706933	-95.0312238	7.1	CENTRAL	8	25-Mar-1998		TCEQ	TCEQ
482010059	0022	HOUSTON	12	Y	MANCHESTER	7935 1&#x2f;2 Adrien at Broadway 	HOUSTON, TX	29.7058330	-95.2811110	6.0	CENTRAL		01-Jan-1981	21-Jan-1998	TCEQ	TCEQ
482010060	0404	HOUSTON	12	Y	Houston Kirkpatrick	5565 Kirkpatrick 	HOUSTON, TX	29.8074603	-95.2936393	18.9	CENTRAL		10-Feb-2000	18-Apr-2023	City of Houston Health Department	TCEQ
482010061	0145	HOUSTON	12	N	Shore Acres	3903 1&#x2f;2 Old Highway 146 	HOUSTON, TX	29.6149828	-95.0181244	0	CENTRAL	91	28-May-1998		TCEQ	TCEQ
482010062	0406	HOUSTON	12	Y	Houston Monroe	9726 1&#x2f;2 Monroe 	HOUSTON, TX	29.6256660	-95.2670435	12.0	CENTRAL	4	01-Jan-1984		City of Houston Health Department	TCEQ
482010063		HOUSTON	12	Y	Smith Branch Library	3624 Scott &#x28;Smith Branch Library&#x29; 	NOT IN AN URBAN AREA	29.7250000	-95.3500000	0	CENTRAL		01-Jan-1984	22-Apr-1988	City of Houston Health Department	City of Houston Health Department
482010064		HOUSTON	12	Y	ALLENDALE SUBDIVISION	3100 Old Galveston Road 	HOUSTON, TX	29.6994440	-95.2688890	0	CENTRAL		19-Jan-1993	01-May-1999	TCEQ	TCEQ
482010066	0410, 3003	HOUSTON	12	Y	Houston Westhollow	3333 1&#x2f;2 Hwy 6 South 		29.7233326	-95.6359413	24.0	CENTRAL	9	01-Jul-1994		City of Houston Health Department	TCEQ
482010068	0048	HOUSTON	12	Y	Houston Wharton	Hwy 249 &amp; Wharton Power Plant Located at Wharton Power Plant	HOUSTON, TX	29.9475484	-95.5428231	37.0	CENTRAL		01-Dec-1993	03-May-2012	TCEQ	TCEQ
482010069	0169	HOUSTON	12	N	Milby Park	2201A Central St 	HOUSTON, TX	29.7062725	-95.2611331		CENTRAL	55	07-Apr-1999		TCEQ	TCEQ
482010070	0081	HOUSTON	12	Y	Houston Regional Office	5425 Polk Ave Suite H 	HOUSTON, TX	29.7351200	-95.3156000	6.0	CENTRAL		03-May-2000	15-Jun-2012	TCEQ	TCEQ
482010071		HOUSTON	12	Y	Pasadena HL&amp;P	1001 1&#x2f;2 Red Bluff 	HOUSTON, TX	29.7164829	-95.2013298	7.6	CENTRAL		17-Jul-2000	31-Dec-2016	TCEQ	TCEQ
